,授業科目名,科目番号,単位数,標準履修年次,時間割,担当教員,授業概要,専攻区分,授業方法,学位プログラム・コンピテンスとの関係,授業の到達目標(学修成果),授業計画,履修条件,成績評価方法,学修時間の割り当て及び授業外における学修方法,教材・参考文献・配付資料等,オフィスアワー等(連絡先含む),その他(受講生にのぞむことや受講上の注意点等),他の授業科目との関連,ティーチングフェロー(TF)・ティーチングアシスタント(TA),キーワード
46,シミュレーション,FH33051,2.0 単位,2 - 4 年次,"秋AB 水3,4",藤原 良叔,できるだけ少ない実験で偏りのないデータを得るための技術(実験計画法)、および、ンピュータ上で実験するための計算技法(計算機シミュレーション)を学ぶ。,経営工学,講義,"批判的・創造的思考力, データ・情報リテラシー, 複雑な社会問題解決のための数統計学・情報技術",実験計画法とコンピューター上での実験(すなわちコンピュータ・シミュレーション)の基本的な考え方(概念)と手法が理解できる。,"この科目では、実験をしてデータを取るための手法を学びます。それには大きく分けて二つの問題があります。(1) 実験の回数を出来るだけ少なく、いいデータを得るにはどうしたらいいか?(2) 費用少なく安全に実験をするにはどうしたらいいか?この授業では、この2つの課題に取組みます。市場調査や生産管理などで、解析に必要データを「偏りなく如何に少ない手間で得るにはどうすばいいか」、これが実験計画法のテーマです。 次にデータを得るための調査や実験には何億もの費用がかかったり、た危険を伴ったりすることがあります。そんな時、実際の装置で実験をする代わりにコンピューター上にモデル(模型) を作って模擬実験をします。これが(2)のコンピター・シミュレーションです。これらの手法について実習しながら学びます.シミュレーション実習に関しては artisoc Cloud というマルチエージターを使います.予定では講義の2ー3日前までにはアップするつもりですが,ギリギリまで遅れることります.また直前に修正することもありますのでご了承ください.できたら教室にパソコンを持参してください.ただし,講義中は閉じてください.理由講義の時に「これ」とか「それ」などの三人称を多発するので,スクリーンを見ていなと理解できません.また,毎週30分程度演習を行います.期末試験は課題や授業中の演習問題を自分で解者しか解答できないような問題を出題します.授業の進め方に関して,manaba で講義資料を配布しますので, 必ず前もってい.第1週 実験とは,  実験計画法と組合せ理論第2週 要因実験、一元配置,二元配置第3週 一部実施要因実験(直交実験)と直交配列第4週 有限体およびその拡大第5週 多様なシミュレーション, artisoc Cloudの登録方法第6週 artisoc Cloud の使い方第7週 乱数と準乱数第8週 モンテカルロ法,マルコフ連鎖モンテカルロ法第9週 離散システムのシミュレーション第10週 シミュレーションと最適化問題,確率的勾配降下法期末試験は実施する予定です.宿題の課題や授業中の演習問題を自分で解いた者にしか解答出来ないような問題を出題します.","統計学、線形代数の知識が頻繁に必要。また、何らかの言語でプログラミングが出来ることを前提とする。Rでの例をたくさん提示しますので,Rが理解できると便利です.","筆記試験においてはテキスト・ノート等の持ち込みは不可。artisoc Cloud でのモデルを構築し,実行したレポートと毎週の課題レ期末試験で評価.レポート(30%)期末試験(70%)",.各授業時間での演習を行う.今年からグループワークを取り入れる.グループは毎回更.未解決課題は自宅で完結すること..課題はレポートにしてmanabaにアップロードすること.,"授業の進め方に関して, manaba で案内をしますので,必ず見てください.Manaba または MS TEAMS で講義資料や参考資料を配布.授業の前にダウンロードしておいてください..予定では講義の2ー3日前までにはアップするつもりですが,ギリギリまで遅れることります.また直前に修正することもありますので注意してください1. 藤原良叔, 神保雅一,「符号と暗号の数理 」(共立出版)2. 佐藤文明, 斎藤稔, 石原進,「シミュレーション」 (共立出版)3. 関根智明, 高橋磐郎, 若山邦紘,「シミュレーション」 (日科技連)シラバスに書かれたことの変更は,manabaで掲示します. manabaの掲示す.","manabaで掲示mail, manaba で質問を受け付ける.","できたら授業にパソコンを持参してください.: ただし,三人称の「これ」とか「あを多用するので,スライドで講義中は閉じること.",,"TAが1名配属になります基本的にはTAは授業中は参加せず,mail等で課題やR,artisocなどの質","実験, 実験計画法, 要因計画, 直交配列, 有限体, 乱数, モンテカルロ法連続モデル, エージェントシステム, 最適化とシミュレーション. artiso"
47,情報ネットワーク,FH33061,2.0 単位,2 - 4 年次,"春AB 月5,6","張 勇兵, 繆 瑩","ネットワークの基本構成や形態などについて解説し,電子メール,WWWなど実際の応用ながらプロトコルやデータ伝送方式などについて解説する。また,ネットワークセキリティの脅威と対策,暗号システムと認証方式,鍵管理方式についても解説する。",経営工学,講義,批判的・創造的思考力、データ・情報リテラシー、複雑な社会問題解決のための数学・統計学・情報技術,この授業は、データ通信の仕組みや通信規則などの基礎知識を理解し、データ通信を安全に行うための仕組みと方式を理解することを目的とする。,"ネットワークの基本構成や形態などについて解説し,電子メール,WWWなど実際の応用いて実習を混ぜながらインターネットについて解説する。また,ネットワークセキュティの脅威と対策,暗号システムと認証方式,鍵管理方式についても解説する。第1回 ネットワークアーキテクチャ第2回 プロトコルとネットワークアーキテクチャ第3回 アプリケーション層、ネットワークアプリケーション第4回 フロー制御、輻輳制御第5回 ルーティング方式とインターネットにおけるルーティング第6回 ネットワークセキュリティとは第7回 暗号システム第8回 認証方式第9回 鍵管理方式第10回 電子メールセキュリティ",「情報リテラシー」、「プログラミング実習」、「経営工学情報実習」、「シミュレーション」を履修したことやプログラミングに関する基礎知識を持つことが望ましい。,全体成績は前半5回50%と後半5回50%で評価する前半5回の成績はレポート40%、試験60%で評価する後半5回の成績はレポート40%、試験60%で評価する,受講者の理解度に応じ、授業中に指示する。,指定教科書は特になし参考書・タネンバウムら著、コンピュータネットワーク、日経BP社・田坂修二著、情報ネットワークの基礎、数理工学社・岡本龍明著、図解 暗号と情報セキュリティ、日経BP 社・神保雅一著、イオタゼミ、暗号がわかる本、 Ohmsha,各担当教員にお問い合わせください張 勇兵  ybzhang at sk.tsukuba.ac.jphttp://www.sk.tsukuba.ac.jp/̃ybzhang繆 瑩  miao at sk.tsukuba.ac.jphttp://infoshako.sk.tsukuba.ac.jp/̃miao,,,,データ通信、プロトコル、ルーティング、セキュリティ、認証
48,データ解析,FH33071,2.0 単位,2 - 4 年次,"秋AB 火1,2","黒瀬 雄大, 志田 洋平, 末重 拓己",統計学の基本的な原理を学習し、データ解析手法の実践をする。また具体的なプログラミングコーディングを通じて、データ解析の練習を行う。,経営工学,講義,批判的・創造的思考力、データ・情報リテラシー、広い視野と国際性、複雑な社会問題解決のための数学・統計学・情報技術、グローバル課題の分析能力,(前半)基本的な統計理論を理解し、回帰などの統計手法を適切に使用してデータ解析できるようになる。(後半)計算機上でのデータ生成・統計解析を行うことで、データ解析の具体的な方法を取得する。,第1週 復習(標本/中心極限定理/統計的仮説検定)第2週 p値第3週 回帰とデータ解析1第4週 回帰とデータ解析2第5週 尤度第6週 復習(言語チュートリアル)第7週 分布第8週 相関分析・統計検定1第9週 相関分析・統計検定2/時系列データの生成と分析第10週 データ解析の実務,(前半)「統計学」と1年次の数学科目すべての基本的な内容を理解しているのを前提る。(後半)プログラミング入門、もしくはプログラミング実習の講義を履修済みであるこを前提にする。,レポートにより評価する。(前半50点、後半50点)(前半)レポートを3回提出する(計50点)。(後半)毎授業での計算機演習の作業履歴をレポートとして提出し、更に2つのレポー提出する(計50点)。,(前半)講義の復習をし、課題に取り組むこと。(後半)講義資料をもとに、実際にプログラミングコードを組みながら復習すること。,指定教科書はない。参考文献は講義中に紹介する。,オフィスアワーは特に定めないが、事前連絡をしてから訪問すること。,締め切り後のレポート提出は、特別な事情があり事前に連絡して担当教員の許可を得ていた場合を除き、一切認めない。,,TA 2名,"統計的仮説検定, 回帰分析, 尤度, プログラミング"
49,経営と機械学習,FH33081,2.0 単位,2 - 4 年次,"秋AB 木5,6",高野 祐一,経営上のデータ分析で有用な機械学習手法(線形回帰、ロジスティック回帰、主成分分析、クラスター分析、交差確認、ブートストラップ、正則化、決定木、サポートベクトルマシン、深層学習など)を幅広く取り上げて講義する。,経営工学,講義,「批判的・創造的思考力」「データ・情報リテラシー」「複雑な社会問題解決のための数学・統計学・情報技術」,(1) 機械学習の基礎となる理論を理解すること。(2) 機械学習手法の理解に必要な基礎数学を習得すること。(3) 経営上のデータ分析で有用な様々な機械学習手法を概観すること。(4) 経営課題に対して適切な機械学習手法を選択し適用できること。,機械学習は複雑なデータを有効に活用するための学問分野である。統計学、数理最適化、計算機科学と深く関連し、マーケティングやファイナンスなどの経営分野への応用も注目を集めている。この授業では、機械学習の概念と手法を幅広く取り上げて講義し、経営上のデータ分析に機械学習手法を活用できる能力を習得することを目標とする。第1回 統計的学習第2回 基礎数学、特別講義第3回 線形回帰第4回 分類第5回 教師なし学習第6回 中間試験第7回 再標本化、線形モデル選択と正則化第8回 決定木、サポートベクトルマシン第9回 ニューラルネット(深層学習)第10回 推薦システム、強化学習,特になし。,授業内小テスト (20点)、中間試験 (40点)、期末試験 (40点) を実施次の通りとする。A+: 90点以上、A: 80̃89点、B: 70̃79点、C: 60̃69点,配布資料の内容を必ず復習し、理解を深めておくこと。,"教科書は指定せず、毎回資料を配布する。以下は参考文献とする。1. G. James, D. Witten, T. Hastie, andStatistical Learning, Second Edition (S落海浩, 首藤信通 (訳): Rによる統計的学習入門 (朝倉書店, 2018)",オフィスアワーは特に定めないが、事前連絡をしてから訪問すること。,特になし。,,,機械学習、線形回帰、分類、教師なし学習、再標本化、モデル選択、正則化、決定木、サポートベクトルマシン、深層学習
50,数理工学モデル化演習,FH34012,2.0 単位,2 - 4 年次,"春AB 火5,6","繁野 麻衣子, Phung-Duc Tuan, 大西 正輝, 岩永 二郎","数理工学モデル化エリアの各授業において学んだ,様々な工学的なツール(モデル)にる基礎知識を,問題演習や実習を通して,さらに「使える」知識として定着させること目標とする。",経営工学,演習,"コミュニケーション能力、批判的・創造的思考力, データ・情報リテラシー、広い視と国際性、心身の健康と人間性・倫理性、協働性・主体性・自律性、社会システムの基礎的理解と洞察力、複雑な社会問題解決のための数学・統計学・情報技術、社会的要請への対応力、コミュニケーション・スキル、課題探求能力",数理工学モデル化エリアの授業で学ぶ基礎知識を問題演習やケーススタディを通して「使える」知識として定着させる。,第1回 文書作成ソフト第2回 Python言語と数理最適化による問題解決:入門第3回 Python言語と数理最適化による問題解決:応用(1)第4回 Python言語と数理最適化による問題解決:応用(2)第5回 マルチエージェント・シミュレーション第6回 最適化モデリング(1)第7回 最適化モデリング(2)第8回 待ち行列(1)第9回 待ち行列(2)第10回 待ち行列(3),プログラミングの知識があることを前提とする。プログラミング入門ABを履修していことが望ましい。また、数理工学モデル化エリアの複数科目に興味があることが望ましい。,担当教員によって異なるが、授業中に指示するレポートのみで評価する。各レポートの点数は対応する授業の回数の比率で評価する。演習はすべて 出席することが原則である。理由にかかわらず、欠席が2回を越えたときは、実習が十分 に行えなかったものみなし、無条件に不合格となる。,受講者の理解度に応じ、授業中に指示する。レポートの提出は担当教員の指示に従い期限日時までに提出すること。1頁目に必ずレポートのタイトル、専攻名、学年、学籍番号、氏名を記入すること。納期厳守の練習も含め、レポートの遅着には厳しく対応する。,"演習で必要な資料は随時配布する1. 岩永 二郎. 石原 響太, 西村 直樹, 田中 一樹,Pythonではじ版): ケーススタディでモデリングのスキルを身につけよう",随時。メールでアポイントメントを取ること。,,,,最適化、マルチエージェントシミュレーション、データサイエンス、機械学習、確率過程
51,数理最適化法,FH34031,2.0 単位,2 - 4 年次,"春C 月3,4,木3,4","吉瀬 章子, 繁野 麻衣子","数理計画におけるいくつかのテーマ(線形計画法,非線形計画法,グラフ理論,組み合適化法 等)を取り上げ,代表的な算法や基礎的な理論について概説を与える。",経営工学,講義,"批判的・創造的思考力,データ・情報リテラシー,複雑な社会問題解決のための数学・計学・情報技術","前半では,数理最適化法の基本である,線形計画の基礎理論と単体法の仕組みを理解し得する.後半では,組み合わせ最適化の代表的問題や解法について理解し習得する.","数理計画法で重要ないくつかのトピックス(線形計画,非線形計画,グラフ理論,組合適化)を取り上げ,代表的な算法や基本的な理論について概説を与える. 前半では,画問題とその双対問題との理論的な関係性を示す双対定理とその応用,線形計画問題のを計算機を求める場合に不可欠な単体法の仕組みを中心に解説する.後半では,グラフ基礎知識,最短路問題とその解法を解説する.さらに,ナップサック問題を例に組合せ化問題に対する代表的な解法である分枝限定法や動的計画法,近似解法について概説する.第1回 線形計画問題とは? 線形計画問題の標準形,演習(1)第2回 双対問題,双対定理,演習(2)第3回 双対定理続き,演習(3),単体法(1)第4回 単体法(2) ,(3),演習(4)第5回 中間試験,感度分析,役立つモデル化手法あれこれ第6回 組合せ最適化とは? グラフ・ネットワークの準備第7回 最短路問題 最小費用流問題第8回 組合せ最適化問題の難しさ ?ナップサック問題を例にして-第9回 分枝限定法,動的計画法第10回 近似解法期末試験を行うため,各回の休憩時間を用いて10週分の授業時間を確保し教育の質の化を図ります。","線形代数の基礎(行列,基底の概念)を習得していることが望ましい。","中間試験(50%)と期末試験(50%)。全体の点数の60%以上を合格とする。評価は標語(A+,A,B,C,D)で与える。","講義内容を予習し復習すること。特に授業中に行う小テストで不十分であったところは必ず復習しておくこと。前半部については,1年次の線形代数を復習しておくと理解しやすい。","1. 久野 誉人, 繁野 麻衣子, 後藤 順哉.「IT Text 数理最適化」1.Takahito Kuno, Maiko Shigeno, Jun’y(Mathematical optimization)’, Ohmsha (2",随時.メールでアポイントメントをとること。,同時に数理工学モデル化実習を履修することが望ましい。状況に応じて講義方法を変更する必要が生じた場合はmanabaを通じて連絡する。,,,"数理最適化, 線形計画, 単体法, 双対定理, 感度分析, モデル化, 組合せフ理論, 最短路問題, ナップサック問題, 分枝限定法, 動的計画法, 近似解"
52,応用確率論,FH34091,2.0 単位,2 - 4 年次,"春AB 木5,6",Phung-Duc Tuan,"確率論の基礎及びマルコフ連鎖の概略を説明する.確率空間,確率変数,確率分布,条き確率,期待値,条件付き期待値,同時確率分布,確率変数の収束,大数の法則,中心理,マルコフ連鎖等を説明する予定である.",経営工学,講義,"批判的・創造的思考力, データ・情報リテラシー, 複雑な社会問題解決のための数統計学・情報技術","初歩的な確率の考え方や計算技術を,実際の例を通じて習得する.確率空間や公理的確率論,確率変数,確率分布,期待値,積率母関数,同時分布と条件率,大数の法則,中心極限定理,およびマルコフ連鎖の基礎知識を身につけ,確率論をできる.","この授業は10回の講義で構成する.第1回 集合論の基礎,σ集合体第2回 確率空間,条件付き確率第3回 確率変数,確率分布第4回 期待値第5回 同時確率分布,分散と共分散第6回 独立な確率変数,たたみ込み,母関数第7回 確率変数の収束:概収束、法則収束、確率収束等第8回 極限定理:大数の法則, 中心極限定理第9回 確率過程の基礎:マルコフ連鎖第10回 確率過程の基礎:マルコフ連鎖",微積分と線形数学の他は特別な知識を前提としない講義とする.,"レポート・小テスト及び期末試験による評価をする. 成績評価を評語(A+, A,にする.レポート・小テストは3割と期末試験は7割で評価する.",復習は必ずすること,"関連資料をファイルで適宜に配布する。参考書:明解確率論入門 笠原 勇二(著),率と確率過程 伏見 正則(著),確率と確率過程 宮沢 政清  (著)等",メールでアポイントを取ることtuan at sk.tsukuba.ac.jp,,,,"確率空間, 公理的確率論, 確率変数, 確率分布, 期待値, 積率母関数, 同付き確率, 大数の法則, 中心極限定理, マルコフ連鎖"
53,数理統計学,FH34101,2.0 単位,2 - 4 年次,"秋AB 金1,2",イリチュ 美佳,多変量データを素材とした数理統計学の基礎的知識とそれに基づいた応用や適用手法について学ぶ。,経営工学,講義,批判的・創造的思考力、データ・情報リテラシー、複雑な社会問題解決のための数学・統計学・情報技術,統計、確率の基本的内容を理解し、基礎力をつける。また、多変量データ解析の基礎知識を理解し、実用する能力を身につける。,"多変量データを素材として,数理統計学の基礎的知識を学ぶ。第1回 基礎的統計量第2回 事象と確率第3回 確率の諸性質第4回 離散型分布とその性質第5回 連続型分布とその性質第6回 統計的推論の考え方第7回 多変量統計の一般論第8回 多変量統計解析の応用I(主成分分析)第9回 多変量統計解析の応用II(クラスター分析)第10回 多変量統計解析の応用III(主成分分析・クラスター分析の応用)",統計学,評価方法:最終レポート提出により評価する.割合:レポートのみで評価する. 概ね6割以上の評点で合格とする.評価基準:レポート課題の主旨に沿って、的確に記述できているか否かにより評価する,次回の授業範囲の内容を予習して、必要な統計学の基礎事項を理解しておく.また、復習として、応用例について学修する.,講義で適宜指示する。,随時。メールでアポイントを取ること。,,,,"統計, データ解析"
54,離散数学,FH34111,2.0 単位,2 - 4 年次,"春AB 木3,4","繆 瑩, 八森 正泰",社会工学における種々の離散的なシステムのモデル化や解析、および、情報処理技術の基礎となる、離散数学・組合せ論の入門・概説的な講義を行う。,経営工学,講義,"批判的・創造的思考力, データ・情報リテラシー, 複雑な社会問題解決のための数統計学・情報技術",社会工学における種々の応用を念頭に、離散数学の基礎概念を理解できる。,前半5週間は繆、後半5週間は八森が担当する。第1回 論理第2回 集合論入門第3回 順列・組合せ・エントロピー関数第4回 極値集合論初歩第5回 符号理論入門第6回 グラフ理論入門・基礎編第7回 グラフ理論入門・発展編第8回 数え上げの手法第9回 線形代数の応用第10回 発展的トピック,"数学リテラシー1・2, 微積分1・2・3, 線形代数1・2・3, 統計学, をを理解していること。",期末試験とレポート課題による。試験80%、レポート課題20%。試験において、テキスト・ノートの持ち込みは不可。評語の基準は次のとおりとする。A+: 秀(90点以上)、A: 優(80-89点)、B: 良 (70-79点)点未満),各回の授業に出席して講義を聴講し、授業内容を次の回までに必ず復習しておくこと。練習問題が出された場合には必ず取り組むこと。,教科書は指定しない。参考文献は授業内で適宜紹介する。,オフィスアワーは特に定めないが、事前連絡をしてから訪問すること繆 瑩  miao at sk.tsukuba.ac.jphttp://infoshako.sk.tsukuba.ac.jp/̃miao八森 正泰,毎回の授業に出席して聴講し、各回の復習や練習問題は必ず行い、意欲を持って授業に臨んで下さい。,,,"集合と論理, 組合せ論, 極値集合論, 符号理論, グラフ理論, 数え上げ"
55,問題発見と解決,FH35012,2.0 単位,3・4 年次,"秋BC 金5,6","吉瀬 章子, 高野 祐一","経営工学専攻で学んだ基礎知識を用いて,自らテーマを設定し,モデル化,ソリューシの導出,ソリューションの検討からなる一連のプロセスを経験するとともに,ディスカションとプレゼンテーションのトレーニングを行う。学外への視野を広げるため,社会活躍する方々を招いての事例講義や他大学の学生による交流発表会も予定している。",経営工学,演習,"コミュニケーション能力,批判的・創造的思考力,データ・情報リテラシー,広い視野際性,心身の健康と人間性・倫理性,協働性・主体性・自律性,社会システムの基礎的解と洞察力,複雑な社会問題解決のための数学・統計学・情報技術,グローバル課題の析能力,社会的要請への対応力,コミュニケーション・スキル,課題探求能力",経営工学専攻で学んだ基礎知識を用いて、自ら設定したテーマに対して、モデル化・ソリューションの導出・ソリューションの検討に一連の作業が行える能力、ならびにディスカッションとプレゼンテーションの能力を高めるとともに、事例講義や大学間交流授業を通して学外への視野を広げること。,第1回 オリエンテーション第2回 大学交流授業第3回 相談会第4回 相談会第5回 中間発表その1第6回 中間発表その2第7回 事例講義第8回 相談会第9回 最終発表会その1第10回 最終発表会その2,様々な数理モデルに関する知識と理解を前提としている。,"(1)授業参加(質問,ディスカッション等)への積極性 5% (2)感想文の提出ンテーション 40%(4)発表へのコメントの提出 5% (5)レポート40%を総合して評価する。1.必修の実習であり、すべてに出席することが原則であるが、止むを得ず欠席する場は、後日医師の診断書や、企業説明会等へ出席したことを証明する書類や写真(日付入り)を提出すること。2.事例講義後、次の実習までに感想文を提出すること。なお感想文は後日講師の方へお礼として送付する。3.最終プレゼンテーションにおいて、各自が持つ3ポイントを分配する形の投票を行筑波大学の代表者を決める。4.選ばれた代表者は、3月に行われる、慶応大学、中央大学、筑波大学、東京工業大東京理科大学の各代表者による発表会「問題発見とモデル化 5大学交流発表会」で発を行う。A+:90点以上、A:80-89点、B:70-79点、C:60-69点、D:6","講義30%,実習70%。授業外において必要な学修時間は60時間程度で,自らの課題発見と遂行,中間発表の作成・練習,事例講義感想文作成,最終発表の資料作成・練習,最終レポートの作成等う。",必要な資料は相談会において各学生に提示する。,E-mailで連絡の上随時,リアルタイム型のオンライン授業を行う予定。状況に応じて講義方法を変更する必要が生じた場合はmanabaを通じて連絡する。,,,"課題発見, モデル化, ソリューション導出, ディスカッション, プレゼンテー事例講義, 大学間交流授業"
56,住環境設計演習,FH46002,6.0 単位,3・4 年次,春ABC 金3-6,"山本 幸子, 藤井 さやか, 渡辺 俊, 藤川 昌樹, 雨宮 護, 今井 信博, 中津 秀之, 神田信孝","都市・建築空間の設計能力向上を目指す演習である。2年次までに開講された設計関連目(都市計画情報演習,基本製図)を受講した学生が,これまでに習得した基本製図にる基礎手法を用い,戸建木造住宅及び集合住宅の設計方法・設計技術を身につける。",都市計画,演習,"コミュニケーション能力,批判的・創造的思考力,協働性・主体性・自立性,社会的要への対応,コミュニケーション・スキル,課題探求能力","建築物立案の企画力,建築空間の計画力,設計能力,および表現力に関する技術を身にるため,戸建木造住宅及び複合施設(公共施設や商業施設)を含む都市型集合住宅を設る。その中で建築設計に必要な地区計画の考え方,集合住宅計画論,設計技術等を習得る。課題は,社会情勢や実現性を考慮した具体的なものとする。","前半に戸建木造住宅の設計,後半に都市型集合住宅の設計を行う。第1回 1.戸建木造住宅の設計1-1 課題説明と建築計画・設計の基礎第2回 1-2 エスキースI:コンセプト・ゾーニング第3回 1-3 エスキースII:平面・断面計画第4回 1-4 中間発表会第5回 1-5 エスキースIII:各種図面第6回 1-6 エスキースIV:模型・プレゼンテーション技法第7回 1-7 最終発表会第8回 2.都市型集合住宅の設計2-1 課題説明・講義(集合住宅の設計方法)・見学会第9回 2-2 講義(設計事例の紹介)・エスキース第10回 2-3 ボリュームスタディ第11回 2-4 ボリュームスタディ第12回 2-5 中間発表会第13回 2-6 設計作業第14回 2-7 講義(プレゼンテーション技法)・設計作業第15回 2-8 仕上げ作業第16回 2-9 最終発表会",原則として「都市計画情報実習」「基本製図」を既に履修していることとする。,提出課題の完成度により評価する。,,授業のホームページを参照,山本 幸子文科系修士A棟307 sachiko at sk.tsukuba.ac.jp藤井 さやか  メールでアポイントをとってください fujii at sk.t渡辺 俊  shun at sk.tsukuba.ac.jp藤川 昌樹  fujikawa at sk.tsukuba.ac.jphttp://wright.sk.tsukuba.ac.jp/fujikawa雨宮 護  随時.メールで連絡すること. amemiya at sk.tsuk,,,,"建築, 設計, 住宅,集合住宅,プレゼンテーション"
57,住環境計画演習,FH46012,4.0 単位,3・4 年次,春BC 金3-6,"藤井 さやか, 渡辺 俊, 藤川 昌樹, 雨宮 護, 山本 幸子, 神田 信孝, 今井 信博, 中津秀之","都市・建築空間の設計能力向上を目指す演習である。2年次までに開講された設計関連目(基本製図,設計演習I)を受講した学生が,これまでに習得した設計製図における法を用い,集合住宅の設計方法と設計技術を身につける。",都市計画,演習,コミュニケーション能力批判的・創造的思考力協働性・主体性・自律性社会的要請への対応力コミュニケーション・スキル課題探求能力,"建築物立案の企画力,建築空間の計画力,設計能力,および表現力に関する技術を身にるため,複合施設(公共施設や業務施設)を含む都市型集合住宅を設計する。その中で設計に必要な地区計画の考え方,集合住宅計画論,設計技術等を習得する。課題は,社勢や実現性を考慮した具体的なものとする",1) 課題説明・講義(集合住宅の設計方法)・見学会2) 講義(設計事例の紹介)・エスキース3) ボリュームスタディ4) 中間発表会5) 設計作業6) 講義(プレゼンテーション技法)・設計作業7) 仕上げ作業8) 最終発表会,都市計画情報演習、基本製図、設計演習1を履修していることが望ましい。,提出課題の完成度により評価する。,演習時間外に自主的に課題地を見学する。演習時間内に終わらない場合、空き時間を活用して課題を完成させる。,授業のホームページを参照,随時。メールでアポイントを取ること。藤井 さやか  メールでアポイントをとってください fujii at sk.t渡辺 俊  shun at sk.tsukuba.ac.jp藤川 昌樹  fujikawa at sk.tsukuba.ac.jphttp://wright.sk.tsukuba.ac.jp/fujikawa雨宮 護  随時.メールで連絡すること. amemiya at sk.tsuk山本 幸子文科系修士A棟307 sachiko at sk.tsukuba.ac.jp,,,,"集合住宅, 設計, プレゼンテーション"
58,住環境計画概論,FH46021,2.0 単位,2 - 4 年次,"春AB 木3,4","雨宮 護, 山本 幸子",最も身近な建築である住まいは、建築の基本であると同時に、都市をつくる重要な構成要素でもある。本講義では、日本における住まいの歴史、戦後の社会状況・ライフスタイルの変化が都市・農村の住宅や居住環境に与えた影響と今日的課題について解説する。さらに少子高齢・人口減少の進行とグローバル化の進展、ストック活用型社会におけるこれからの住まいづくり、まちづくりについて考える。,都市計画,講義,"批判的・創造的思考力,広い視野と国際性,社会システムの基礎的理解と洞察力,グロル課題の分析能力,社会的要請への対応力",住宅の歴史的変遷及び住宅政策について理解を深めるとともに、今日の社会状況・地域性に対応した住まい・居住環境の計画手法を習得する。,第1回 ガイダンス・日本の都市・市街地形成の歴史と住宅の成り立ち第2回 日本の住まいと居住環境第3回 「郊外」の形成史第4回 団地・集合住宅の変遷と計画第5回 研究学園都市の居住環境1第6回 日本の住宅政策と住まいの変化第7回 安全・安心と居住環境第8回 人口減少社会における住まいと居住環境第9回 ストック活用型社会における居住環境計画第10回 研究学園都市の居住環境2,特になし,課題学習の成果物(20%)と期末試験の結果(80%)から総合的に評価する。 試紙1枚ウラオモテの自筆のメモのみ持ち込み可とする。,講義時に示す参考文献を用いて復習を行うことが望ましい,授業中に指示する,随時.メールでアポイントメントをとってください雨宮 護  随時.メールで連絡すること. amemiya at sk.tsuk山本 幸子文科系修士A棟307 sachiko at sk.tsukuba.ac.jp,,,,"住宅,住環境,郊外,団地,集合住宅,住宅政策,安全・安心,人口減少,ストック活用"
59,空間デザイン論,FH46031,2.0 単位,2 - 4 年次,"秋AB 金1,2",渡辺 俊,"建築・都市デザインの潮流を概説するとともに,魅力的な空間を創出するための様々なヴォキャブラリーを紹介する。次に,それらの機能的構成と建築基準法(単体規定)等築関連規定について説明する。また,デザイン課題を通して空間設計に必要な基礎的素を習得する。",都市計画,講義,批判的・創造的思考力データ・情報リテラシー社会システムの基礎的理解と洞察力グローバル課題の分析能力社会的要請への対応力,"建築・都市デザインの潮流および,様々なビルディングタイプにおける基本的な建築計を理解する。また、演習課題(宿題)を通して空間設計に必要な基礎的スキルを習得する。",講義では代表的なな事例を紹介する。第1回 都市デザインの系譜第2回 建築・都市空間の記述第3回 官公庁・業務施設の計画第4回 教育・文化施設の計画第5回 医療・福祉施設の計画第6回 行動科学と設計標準第7回 空間デザインの論理第8回 都市デザインと情報処理第9回 情報化と都市の将来第10回 演習課題講評会,設計演習、住環境計画演習に向けた内容の講義であり、2年次での履修を強く推奨する,即日課題(約30%)、小テスト(約40%)および演習課題(宿題)の完成度(約3価する。,実習室等や都市計画アーカイブ室にある展示作品等を参考に、演習課題を完成させる。,講義内容を抜粋した資料を配布する。,随時。メールでアポイントを取ること。shun at sk.tsukuba.ac.jp,,,,"建築計画, 都市デザイン, 環境心理, 建築情報, 都市情報"
